Emails, Names, Phone 
iqra.fdc.au@gmail.com,Iqra Family Day Care Scheme,0405 943 414
ighm@tsv.catholic.edu.au,Our Lady of Lourdes Outside School Hours Care,(07) 4776 2719
admin@maitlandfdc.com.au,Maitland Family Day Care Scheme,(02) 4934 5716
AustraliaActivekids.FDC@gmail.com,Australia Active Kids Family Day Care Pt Pty Ltd,(02) 8798 0864
uhfdc@upperhunter.nsw.gov.au,Upper Hunter Family Day Care,(02) 6540 1166
oshaccounts@junioradventuresgroup.com.au,Lowther Hall OSHClub,1300 395 735
mia.omer.s@gmail.com,Diamond Day Care Pty Ltd Claymore,0490 150 856
mamabredt@yahoo.com,Antrim Day Nursery,(03) 9337 6490
platinumfdc@gmail.com,Platinum Family Day Care,0431 711 298
admin@ccfdc.com.au,Coastwide Family Day Care,(02) 4340 1111
allchildrensfdc@hotmail.com,Allchildrens Service Family Day Care Pty Ltd,(02) 8739 2789
rumia10@hotmail.com,Rowena Family Day Care Service,(03) 9310 8989
admin@collectivefdc.com.au,Collective Family Day Care,1300 992 858
fdc@bathurst.nsw.gov.au,Bathurst Family Day Care Scheme,(02) 6338 2800
armidaleoosh@optusnet.com.au,Armidale Out of School Hours Care,0437 502 907
NA,Camp Australia - Abbotsford Primary School OSHC,1300 105 343
family.daycare@midwestern.nsw.gov.au,Mid-Western Regional Family Day Care Scheme,(02) 6378 2730
admin@bluebirdchildcare.com.au,Bluebird After School and Vacation Care,(08) 9752 4705
accounts@aeiou.org.au,AEIOU Foundation - Bundaberg,(07) 4155 0399
newborough.ps@edumail.vic.gov.au,Newborough Primary School,(03) 5127 1448
opsadmin@campaustralia.com.au,Camp Australia - St. Mary MacKillop College OSHC,1300 105 343
oshc.braeview948@schools.sa.edu.au,Braeview Primary School OSHC,(08) 8387 5063
tarryn@sharingthecare.com.au,Stepping Stones Childrens Centre,(03) 6425 3499
director@cygnetchildcare.org.au,Cygnet Outside School Hours Care,(03) 6295 1848
director@kentubmandriveelc.com.au,KEN TUBMAN DRIVE EARLY LEARNING & KINDER,(02) 4709 6008
admin@mbcoosh.org.au,Maitland After School Care,(02) 4939 1840
athfdc@qld.chariot.net.au,Tablelands Family Day Care Scheme,(07) 4095 4828
essendonearlylearning@gcaweb.com.au,Essendon Early Learning and Kindergarten,(03) 9379 7740
bee.carey@beecentre.com.au,Busselton Early Education Centre,(09) 7521 337
education-ELC@unimelb.edu.au,University of Melbourne Early Learning Centre,(03) 9419 4089
accounts@accoosh.org.au,Abbotsford Community Centre,(09) 7131 608
directoroshc@devonportchildcare.org.au,Hillcrest Outside School Hours Care,(03) 6424 6747
els_enquiries@missionaustralia.com.au,Mersey Leven In Home Child Care,(03) 6424 4855
fdcmgt@multitask.org.au,Multitask Family Day Care,(02) 6627 5046
vic.kids2015@gmail.com,Vic Kids - Victoria Plantation State School P&C; OSHC,0477 663 50
knilla@missionaustralia.com.au,Mersey Leven In Home Child Care,(03) 6424 4855
armidalemontessori@bigpond.com,Armidale Montessori Pre-school,(02) 6772 3628
NA,Aberfoyle Campus Schools OSHC,0411 244 010
donna.whitehead@latrobe.vic.gov.au,Moe P.L.A.C.E. - (LDC),(05) 1358 700
squeakers@netspace.net.au,Squeakers Childcare Centre,(02) 6372 2620
elc@bcc.net.au,Bundaberg Christian College - Outside School Hours Care Program,(07) 4132 5870
jennie.burns@ymca.org.au,YMCA IN HOME CHILD CARE,(08) 9473 8400
mountainview@alpinechildrensservices.asn.au,Mountain View Childrens Centre,(05) 7522 111
admin@cessnockkids.com.au,Cessnock Kids Preschool and Early Learning Centre,(02) 4990 3377
admin@cessnockchildrenscentre.com.au,Cessnock Multi Purpose Children's Centre,(02) 4990 2687
gippsland@sherpa-kids.com,Sherpa Kids South Street,13 83 66
Sue@mfdc.net.au,Mid Coast Family Day Care,(02) 6652 7927
samira_oosh@hotmil.com,Edensor Park Before and After School Care and Vacation Care,0439 937 309
oshaccounts@junioradventuresgroup.com.au,Lowther Hall OSHClub,1300 395 735
friendly.fdc1@yahoo.com,Friendly Family Day Care,(03) 9329 9534
mudgeecc@pcycnsw.org.au,MUDGEE PCYC KIDZCARE,0408 352 449
flagstaff.oshc49@schools.sa.edu.au,Flagstaff Hill Primary School OSHC/Vacation Care,(08) 8358 6666
fivedock@greenwood.com.au,Greenwood Five Dock,(02) 9712 8899
oshc.braeview948@schools.sa.edu.au,Braeview Primary School OSHC,(08) 8387 5063
info@fdcsydneywide.org.au,Family Day Care Sydney Wide,(02) 9799 4844
Sarah.Duffy483@schools.sa.edu.au,Happy Valley Primary School OSHC,(08) 8322 2411
rutherford@littlemiracles.com.au,Little Miracles Rutherford,(02) 4353 0993
fdcmanager@gowrie-tas.com.au,Lady Gowrie Family Day Care Scheme Tasmania,(03) 6230 6806
scallywags@bathurst.nsw.gov.au,Bathurst Child Care Centre - Little Scallywags,(02) 6332 6108
malangenna@devonportchildcare.org.au,Malangenna Children's Centre - OCC,(03) 6424 6747
elc@bcc.net.au,Bundaberg Christian College - Outside School Hours Care Program,(07) 4132 5870
ulvchildcareoshc@centralcoast.tas.gov.au,Forth Outside School Hours Care,(03) 6425 3505
admin@cessnockchildrenscentre.com.au,Cessnock Out of School Hours Care,(02) 4990 2687
accounts@hvacademy.com.au,Hunter Valley Alphabet Academy,(02) 4932 1329
fdcmanager@carinbundi.com.au,Carinbundi Kids Family Day Care,(07) 4158 9604
NA,Camp Australia - Essendon Primary School OSHC,1300 105 343
council@bathurst.nsw.gov.au,Bathurst Family Day Care Scheme,(06) 3382 800
brighterbeginningsfdc@gmail.com,Brighter Beginnings FDC PTY LTD GREYSTANES,(09) 8636 048
admin@tinytown.net.au,Tiny Town Child Care Armidale,(02) 6771 4373
info@igniteminds.com.au,Ignite Minds P L,1300 856 463
info@acornchildcare.com.au,Acorn Child Care Centre,(07) 4153 0333
fdc247@hotmail.com,24/7 Family Day Care,(02) 4934 7701
bonneytots@bhchildcare.com.au,Bonney Tots Bundaberg,(07) 4151 7111
businessmanager@alpinechildrensservices.asn.au,Myrtleford Outside School Hours Care,(03) 5750 1367
NA,Camp Australia - Essendon Primary School OSHC,1300 105 343
NA,Puggles Child Care Centre,(02) 6372 1204
eglinton-oosh@bigpond.com,Eglinton Out of School Hours Care,0429 371 205
ulvchildcareoshc@centralcoast.tas.gov.au,East Ulverstone Outside School Hours Care,(03) 6425 3505
fdc@parkes.nsw.gov.au,Central West Family Day Care,(02) 6862 3111
aberglasslyn@kindypatch.com.au,Kindy Patch Aberglasslyn,(02) 4932 9588
businessmanager@alpinechildrensservices.asn.au,Myrtleford Outside School Hours Care,(03) 5750 1367
OSHC@bluebirdchildcare.com.au,Bluebird After School and Vacation Care,(08) 9752 4705
opsadmin@campaustralia.com.au,Camp Australia - Georgiana Molloy Anglican School OSHC,1300 105 343
nicole.leadingedge@bigpond.com,Avoca Kids Early Learning Centre,(07) 3632 1144
dposhc@primaryoshcare.com.au,Dobroyd Point OSHC,0415 983 385
ces@goodstart.org.au,Goodstart Early Learning Cessnock,(02) 4990 9929
oshc@campaustralia.com.au,Camp Australia - The Armidale School OSHC,1300 105 343
NA,Yarm Gwanga Preschool and Early Education Centre,(06) 7733 173
earle_pringle@hotmail.com,Natural Steps Preschool Child Care Service,(02) 4991 2802
hinchinbrook@fdcqld.org,Enhance Family Day Care - Hinchinbrook,0477 652 35
ulvchildcareoshc@centralcoast.tas.gov.au,Forth Outside School Hours Care,(03) 6425 3505
belongfdc@gmail.com,Belong Family Day Care,(07) 6964 8515
admin@cessnockchildrenscentre.com.au,Nulkaba Pre-School,(02) 4990 2687
info.frc@ymca.org.au,YMCA In Home Child Care,(08) 9752 4033
oshc@campaustralia.com.au,Camp Australia - Aberfeldie Primary School OSHC,1300 105 343
armidale@pcycnsw.org.au,Armidale PCYC Kidzcare,(02) 6772 1023
admin@mbcoosh.org.au,Bolwarra After School Care,(02) 4939 1840
info@happylittlecampers.com.au,Happy Little Campers Early Childhood Learning & Development Centres,(02) 9712 3440
allambie.road.oosh@cfs.asn.au,Allambie Road Before and After Care,(02) 9823 4262
AHSOSHC.OSHC220@schools.sa.edu.au,Aberfoyle Hub R-7 School OSHC,(08) 8270 5055
admin@cessnockchildrenscentre.com.au,Cessnock Out of School Hours Care,(02) 4990 2687
glc@busselton.wa.gov.au,Geographe Leisure Centre,(08) 9754 3600
ulverstone@discoveryelc.com.au,Discovery Early Learning Centre - Ulverstone,(03) 6425 1388
jodie@1912childcare.com.au,1912 Child Care and Education Centre,(03) 6423 3885
Brightbeginningsfdcc@gmail.com,Bright Beginnings Family Day Care Centre,(03) 9302 1501
eglinton-oosh@bigpond.com,Eglinton Out of School Hours Care,0429 371 205
admin@coastalfdc.org,Coastal Family Day Care Scheme,(03) 6435 3322
ccs.admin@aohtas.org.au,CatholicCare Children's Services - Our Lady of Lourdes Outside School Hours Care,1300 119 455
assumptionoshc@centacarebathurst.com.au,Assumption OSHC,(02) 6331 3444
bundaberg@earlylearningservices.com.au,Bundaberg Early Learning Centre,(07) 4155 1190
admin@cessnockchildrenscentre.com.au,Cessnock Vacation Care No: 2,(02) 4990 2687
abuuyuusuf66@hotmail.com,Childrens First Choice FDC Scheme,(03) 9689 2222
ahsoshc.oshc220@schools.sa.edu.au,Aberfoyle Hub R-7 School OSHC,(08) 8270 5055
AchieversAcademyELC@yahoo.com,Achievers Academy Early Learning Centre,(02) 9823 0354
hinchinbrook@fdcaq.com.au,Enhance Family Day Care - Hinchinbrook,0477 652 35
accounts@accoosh.org.au,Abbotsford Community Centre,(09) 7131 608
admin@bfdc.org.au,Bankstown Family Day Care,(02) 9728 3355
elanora@devonportchildcare.org.au,Elanora Children's Centre,(03) 6424 6747
enquiries@elfdc.com.au,Early Learning Family Daycare Scheme,(03) 9336 3336
juliegr@latrobe.vic.gov,Moe P.L.A.C.E. - (OSHC),(05) 1358 700
armidaleoosh@optusnet.com.au,Armidale Out of School Hours Care,0437 502 907
oshc@campaustralia.com.au,Camp Australia - St Phillip's Christian College Cessnock OSHC,1300 105 343
accounts@accoosh.org.au,Abbotsford Community Centre,(09) 7131 608
ulvchildcare@centralcoast.tas.gov.au,Ulverstone Child Care Centre,(03) 6425 3505
jennie.burns@ymca.org.au,YMCA FAMILY DAY CARE SCHEME,(08) 9473 8400
mariankiin@hotmail.com,Ace Family Day Care,(02) 9734 7099
director@cygnetchildcare.org.au,Cygnet Outside School Hours Care,(03) 6295 1848
flagstaff.oshc49@schools.sa.edu.au,Flagstaff Hill Primary School OSHC/Vacation Care,(08) 8358 6666
basic4care@gmail.com,BasicNeeds Family Day Care,(03) 9360 0993
earlylearningfdc@gmail.com,Early Learning Family Day Care,(03) 9372 0539
oshc@campaustralia.com.au,Camp Australia - Aberfeldie Primary School OSHC,1300 105 343
klewis@samaritans.org.au,Samaritans Family Day Care,0499 334 00
mostafa_saad7000@hotmail.com,Cares R Us Family Day Care Scheme Pty Ltd,0431 711 966
dposhc@primaryoshcare.com.au,Dobroyd Point OSHC,0415 983 385
moe@bluebirdelc.com,Bluebird Early Education Moe,(03) 5126 2222
admin@happyvalleyccc.com.au,Happy Valley Community Children's Centre,(08) 8381 1380
ulverstone@discoveryelc.com.au,Discovery Early Learning Centre - Ulverstone OSHC,(03) 6425 1388
mudgeecc@pcycnsw.org.au,MUDGEE PCYC KIDZCARE,(02) 6372 1367
OOSH@allhallowsoosh.org.au,All Hallows OOSH,(02) 9713 4431
linda@sharingthecare.com.au,Miandetta Children's Centre (OSHC),(06) 4232 122
cps.oshc820@schools..sa.edu.au,Craigburn Primary School OSHC,0427 271 768
oshc@adam.com.au,Aberfoyle Campus Schools OSHC,(08) 8270 6178
yallourn.north.ps@edumail.vic.gov.au,Yallourn North Primary School OSHC,(03) 5167 1233
admin@bluebirdchildcare.com.au,Bluebird Central,(08) 9751 2129
malangenna@devonportchildcare.org.au,Malangenna Children's Centre,(03) 6424 6747
yarm@une.edu.au,Yarm Gwanga Vacation Care,(02) 6773 3173
fdpsoosh@tpg.com.au,Five Dock Public School P&C; Association OOSH,(02) 9712 3260
directoroshc@devonportchildcare.org.au,Hillcrest Outside School Hours Care,(03) 6424 6747
flagstaff.oshc49@schools.sa.edu.au,Flagstaff Hill Primary School OSHC/Vacation Care,(08) 8358 6666
director@thefamilyworks.com.au,Garfield Street Children's Centre,(02) 9713 6381
assumptionoshc@centacarebathurst.com.au,Assumption OSHC,0428 098 103
admin@mbcoosh.org.au,Largs After School Care,(02) 4939 1840
ielc1@outlook.com,Ingham Early Learning Centre,0477 619 33
linda@sharingthecare.com.au,Miandetta Children's Centre,(06) 4232 122
rubymohiuddin@hotmail.com,Crystal Green Family Day Care,0433 163 933
allareasfdc@gmail.com,All Areas Family Day Care,(02) 9677 1363
fdc@camden.nsw.gov.au,Camden Family Day Care,(02) 4645 5190
childcaretas@missionaustralia.com.au,Mersey Leven In Home Child Care/Family Day Care,(02) 3424 4855
NA,Aberfoyle Campus Schools OSHC,(08) 8270 6178
oshc@campaustralia.com.au,Camp Australia - Walkervale State School OSHC,1300 105 343
aldccaccounts@hotmail.com,Abbotsford Long Day Care Centre Inc,(02) 9713 8161
admin@littlesophiakindergarten.org.au,Little Sophia INC Service,(09) 4172 537
kics1@bigpond.com,Bargara Kids In Care At School Combined OSHC,(07) 4159 1336
admin@jellybeansfamilydaycare.com.au,Jellybeans Family Daycare P/L,1300 153 559
tarryn@sharingthecare.com.au,Stepping Stones - Ulverstone Outside School Hours Care,(03) 6425 3499
director@learningforlifechildcare.com.au,Learning for Life Childcare & Preschool,(02) 4934 5540
